product_name,price,discount,stock,description,subheading,visit_count,product_type,brand_id,category_id,color,product_image,display_size,display_resolution,operating_system,memory,battery_capacity,weight,weight_units,bluetooth,wifi,nfc,esim,heart_rate_monitor,step_counter,sleep_tracker,gps,water_resistant,music_player,voice_assistant
Apple Watch 8 41 mm,15232,10,50,"Apple Watch 8 je výkonný chytrý hodinek, které nabízí bezproblémový a intuitivní uživatelský zážitek. Svým elegantním designem a pokročilými funkcemi je perfektním společníkem pro váš každodenní život. Buďte stále připojeni, sledujte svou kondici a přistupujte ke široké škále aplikací přímo ze svého zápěstí. Apple Watch 8 disponuje živým displejem, rychlým procesorem a dostatečnou kapacitou pro uložení oblíbených aplikací a hudby. Taktéž nabízí pokročilé sledování zdraví a kondice, jako je monitorování srdečního rytmu, počítání kroků a sledování spánku. Hodinky jsou odolné vůči vodě a mají vestavěný GPS pro venkovní aktivity. Zažijte další generaci chytrých hodinek s Apple Watch 8.",Zážitek z chytrých hodinek na další úrovni.,3762,Hodinky,1,2,černá,test_image_apple_watch_8.jpeg,1.6,448x368,watchOS,32,300,30,g,True,True,True,True,True,True,True,True,True,True,True
Apple Watch 8 45 mm,16232,10,50,"Apple Watch 8 je výkonný chytrý hodinek, které nabízí bezproblémový a intuitivní uživatelský zážitek. Svým elegantním designem a pokročilými funkcemi je perfektním společníkem pro váš každodenní život. Buďte stále připojeni, sledujte svou kondici a přistupujte ke široké škále aplikací přímo ze svého zápěstí. Apple Watch 8 disponuje živým displejem, rychlým procesorem a dostatečnou kapacitou pro uložení oblíbených aplikací a hudby. Taktéž nabízí pokročilé sledování zdraví a kondice, jako je monitorování srdečního rytmu, počítání kroků a sledování spánku. Hodinky jsou odolné vůči vodě a mají vestavěný GPS pro venkovní aktivity. Zažijte další generaci chytrých hodinek s Apple Watch 8.",Zážitek z chytrých hodinek na další úrovni.,3762,Hodinky,1,2,černá,test_image_apple_watch_8.jpeg,1.9,448x368,watchOS,32,300,30,g,True,True,True,True,True,True,True,True,True,True,True
Apple Watch 7 41 mm,10232,0,5,"Apple Watch 7 je výkonný chytrý hodinek, které nabízí bezproblémový a intuitivní uživatelský zážitek. Svým elegantním designem a pokročilými funkcemi je perfektním společníkem pro váš každodenní život. Buďte stále připojeni, sledujte svou kondici a přistupujte ke široké škále aplikací přímo ze svého zápěstí. Apple Watch 7 disponuje živým displejem, rychlým procesorem a dostatečnou kapacitou pro uložení oblíbených aplikací a hudby. Taktéž nabízí pokročilé sledování zdraví a kondice, jako je monitorování srdečního rytmu, počítání kroků a sledování spánku. Hodinky jsou odolné vůči vodě a mají vestavěný GPS pro venkovní aktivity. Zažijte další generaci chytrých hodinek s Apple Watch 7.",Zážitek z chytrých hodinek na další úrovni.,3762,Hodinky,1,2,černá,test_image_apple_watch_8.jpeg,1.6,448x368,watchOS,32,300,30,g,True,True,True,True,True,True,True,True,True,True,True
Apple Watch 7 45 mm,16232,10,50,"Apple Watch 7 je výkonný chytrý hodinek, které nabízí bezproblémový a intuitivní uživatelský zážitek. Svým elegantním designem a pokročilými funkcemi je perfektním společníkem pro váš každodenní život. Buďte stále připojeni, sledujte svou kondici a přistupujte ke široké škále aplikací přímo ze svého zápěstí. Apple Watch 7 disponuje živým displejem, rychlým procesorem a dostatečnou kapacitou pro uložení oblíbených aplikací a hudby. Taktéž nabízí pokročilé sledování zdraví a kondice, jako je monitorování srdečního rytmu, počítání kroků a sledování spánku. Hodinky jsou odolné vůči vodě a mají vestavěný GPS pro venkovní aktivity. Zažijte další generaci chytrých hodinek s Apple Watch 7.",Zážitek z chytrých hodinek na další úrovni.,3762,Hodinky,1,2,černá,test_image_apple_watch_8.jpeg,1.9,448x368,watchOS,32,300,30,g,True,True,True,True,True,True,True,True,True,True,True
Apple Watch Ultra 49 mm,19999,10,20,"Apple Watch Ultra je prvotřídní chytré hodinky, které nabízejí plynulý a intuitivní uživatelský zážitek. Díky svému elegantnímu designu a pokročilým funkcím jsou ideálním společníkem pro váš každodenní život. Zůstaňte neustále propojeni, sledujte svou kondici a získávejte přístup k široké škále aplikací přímo na svém zápěstí. Apple Watch Ultra disponuje velkým živým displejem, výkonným procesorem a dostatečnou kapacitou pro uložení oblíbených aplikací a hudby. Nabízí také pokročilé sledování zdraví a kondice, včetně monitorování srdečního tepu, počítání kroků a sledování spánku. Hodinky jsou odolné vůči vodě a mají vestavěný GPS pro venkovní aktivity. Zažijte novou úroveň chytrých hodinek s Apple Watch Ultra.",Vylepšete svůj zážitek s chytrými hodinkami.,4628,Hodinky,1,2,černá,test_image_apple_watch_8.jpeg,1.9,512x384,watchOS,32,350,50,g,True,True,True,True,True,True,True,True,True,True,True
Apple Watch SE 40 mm,10999,5,100,"Apple Watch SE je cenově dostupná verze chytrých hodinek, které nabízí vynikající uživatelský zážitek. S elegantním designem a pokročilými funkcemi je ideálním společníkem pro váš každodenní život. Zůstaňte připojeni, sledujte svou kondici a získávejte přístup k množství aplikací přímo ze svého zápěstí. Apple Watch SE disponuje jasným displejem, výkonným procesorem a dostatečnou kapacitou pro uložení vašich oblíbených aplikací a hudby. Sledujte své zdraví a kondici díky monitorování srdečního tepu, počítání kroků a sledování spánku. Hodinky jsou odolné vůči vodě a mají vestavěný GPS pro venkovní aktivity. Vylepšete svůj životní styl s Apple Watch SE.",Cenově dostupné a plnohodnotné chytré hodinky.,7895,Hodinky,1,2,stříbrná,test_image_apple_watch_8.jpeg,1.57,394x324,watchOS,32,285,36,g,True,True,True,True,True,True,True,True,True,True,True
Apple Watch SE 44 mm,11999,7,80,"Apple Watch SE je cenově dostupná verze chytrých hodinek, které nabízí vynikající uživatelský zážitek. S elegantním designem a pokročilými funkcemi je ideálním společníkem pro váš každodenní život. Zůstaňte připojeni, sledujte svou kondici a získávejte přístup k množství aplikací přímo ze svého zápěstí. Apple Watch SE disponuje jasným displejem, výkonným procesorem a dostatečnou kapacitou pro uložení vašich oblíbených aplikací a hudby. Sledujte své zdraví a kondici díky monitorování srdečního tepu, počítání kroků a sledování spánku. Hodinky jsou odolné vůči vodě a mají vestavěný GPS pro venkovní aktivity. Vylepšete svůj životní styl s Apple Watch SE.",Cenově dostupné a plnohodnotné chytré hodinky.,5832,Hodinky,1,2,černá,test_image_apple_watch_8.jpeg,1.78,448x368,watchOS,32,285,47,g,True,True,True,True,True,True,True,True,True,True,True
Apple Watch Series 6 44 mm,15999,15,60,"Apple Watch Series 6 je nejnovější model chytrých hodinek s pokročilými funkcemi a špičkovým výkonem. S jeho výrazným designem a širokou škálou funkcí je perfektním společníkem pro váš každodenní život. Zůstaňte připojeni, monitorujte své zdraví a kondici, a získávejte přístup k mnoha užitečným aplikacím přímo ze svého zápěstí. Apple Watch Series 6 disponuje jasným a barevným displejem, výkonným procesorem a dostatečnou kapacitou pro uložení vašich oblíbených aplikací a hudby. Sledujte své srdeční tepové frekvence, měřte hladinu kyslíku v krvi, monitorujte spánek, a využívejte vestavěný GPS pro přesné sledování aktivit. Hodinky jsou voděodolné a nabízejí vestavěnou hlasovou asistentku. Vylepšete svůj životní styl s Apple Watch Series 6.",Pokročilé chytré hodinky pro každodenní život.,7645,Hodinky,1,2,stříbrná,test_image_apple_watch_8.jpeg,1.78,448x368,watchOS,32,303.8,47.1,g,True,True,True,True,True,True,True,True,True,True,True
Samsung Galaxy Watch 5 44mm,10999,12,40,"Samsung Galaxy Watch 5 je pokročilé chytré hodinky s moderním designem a špičkovými funkcemi. S jeho inovativními technologiemi a elegantním vzhledem je perfektním společníkem pro váš každodenní život. Zůstaňte připojeni, sledujte svou kondici a získávejte přístup k různým funkcím přímo ze svého zápěstí. Samsung Galaxy Watch 5 disponuje jasným a barevným displejem, výkonným procesorem a dostatečnou kapacitou pro uložení vašich oblíbených aplikací a hudby. Měřte srdeční tep, monitorujte spánek, sledujte kroky a získejte přesné údaje o svých aktivitách pomocí vestavěného GPS. Hodinky jsou odolné vůči vodě a nabízejí rozsáhlé možnosti připojení. Užijte si špičkové chytré hodinky s Samsung Galaxy Watch 5.",Pokročilé chytré hodinky pro každodenní život.,5241,Hodinky,2,2,černá,test_image_samsung_galaxy_watch.jpeg,1.4,360x360,Tizen,8,340,42,g,True,True,True,True,True,True,True,True,True,True,True
Samsung Galaxy Watch 5 40mm,9999,10,30,"Samsung Galaxy Watch 5 je pokročilé chytré hodinky s moderním designem a špičkovými funkcemi. S jeho inovativními technologiemi a elegantním vzhledem je perfektním společníkem pro váš každodenní život. Zůstaňte připojeni, sledujte svou kondici a získávejte přístup k různým funkcím přímo ze svého zápěstí. Samsung Galaxy Watch 5 disponuje jasným a barevným displejem, výkonným procesorem a dostatečnou kapacitou pro uložení vašich oblíbených aplikací a hudby. Měřte srdeční tep, monitorujte spánek, sledujte kroky a získejte přesné údaje o svých aktivitách pomocí vestavěného GPS. Hodinky jsou odolné vůči vodě a nabízejí rozsáhlé možnosti připojení. Užijte si špičkové chytré hodinky s Samsung Galaxy Watch 5.",Pokročilé chytré hodinky pro každodenní život.,4321,Hodinky,2,2,černá,test_image_samsung_galaxy_watch.jpeg,1.2,360x360,Tizen,4,247,37,g,True,True,True,True,True,True,True,True,True,True,True
